listing_id,current_locality,resolved_locality,building_name,raw_message_snippet,source,group_name,is_link_only
367912,,Western Suburbs Mid,Shanti Park,"🪜🪜🪜🪜🪜🪜🪜🪜🪜

🎯 *1 BHk Flat for Sale*

🔷 *Mahadev Tower*
500 carpet @ 85 Lacs

🔷 *Ramdev Villa*
560 Sqft @ 62 Lac

🔷 *Gaurav Samriddhi*
650 Sqft @ 60 Lac

🔷 *Hiya Residency*
700 Sqft 80 Lacs

🔷 *Happy Ho",building_name (building_name_aliases),MIRA BHAYANDER REAL ESTATE GROUP,False
387862,,South Mumbai Central,Lodha Grande,"🏡 *2BHK For Sale - The ICON*
Carpet - 775
New Apartment 
Higher floor 
Price - 1.50Cr Negotiable 

🏡*2BHK For Sale - Lodha Grande*
Carpet - 750 
Lower floor 
Price - 1.25Cr negotiable 

For more detai",building_name (building_name_aliases),KING'S OF REALTY THANE (3),False
429376,,Andheri East,Vinay nagar,"📣Siddhi reality 📣
📢Urgent sell flats 📢
🏠 1BHK  🏢 1bhk 🏠

🏠Kakkad paradise 2
📍Penker padha
Area 440
Cost 92L

🏠SKD Pinacola 
📍Ramdev Park
1BHK Area 440
Cost 85L

🏠 Happy Home Residency 
📍Kanakia
1BHK A",building_name (building_name_aliases),LAXMI PROPERTIES (Western),False
430160,,Thane West,Puranik city..,"🔥 *1 bhk flat for rent*

*1 BHK at horizon Palms phase 3..🏡*

💸*Rent - 23 k*
💰*Deposit- 80*

📍*Semi Furnished with Modular kitchen*
----------------------------------
*Puranik city..🏡*

💸*Rent - 19 k*",building_name (building_name_aliases),KING'S OF REALTY THANE (3),False
435018,Khar,Western Suburbs Prime,The 50 seven,"Available for sale

*New building* The 50 seven .
4bhk plus balcony plus SRB
2400 carpet with 4car park
*One apartment per floor*
Khar 16th road 
19cr

*Building with amenities* 

Dilip B RAAI 9699310",building_name (building_name_aliases),Only bandra Khar santaruz,False
557389,,Andheri East,Vinay nagar,"*2bhk for rent*

📍 Vinay nagar

🏢Jp North atria

Rent:- 30 k

Deposit:- 1.50 lakh

*With car parking 🅿️*

*24/7 water supply💦*

*Muslim job profile will do*

Keys is at office🔑

For visit please conta",building_name (building_name_aliases),MIRA BHAYANDER REAL ESTATE GROUP,False
564147,,Thane West,*Runwal Estate,"————————————————-
🏢*Beautiful 3Bhk on Rent*
————————————————-
🔔*Runwal Estate, 42K*
—-Middle floor
—-Semi furnished 
—-Good Condition
—-Only family
*======================*
Call for Details…
📞*SANJEEV",building_name (building_name_aliases),KING'S OF REALTY THANE (3),False
575326,,Western Suburbs Mid,Hubtown Solaris,"*Available Furnished* office A grade building 
*Hubtown Solaris* 
 600 carpet 2 Lakh 
700 carpet 2.30 Lakh 
Fully furnished 
6 months deposit 
1 car park 
Anil Kumar 
9867122678",building_name (building_name_aliases),Shree Ganesh Real Estate  नवी मुंबई गुप,False
606735,,Andheri East,Vinay nagar,"*2bhk for rent*

📍 Vinay nagar

🏢Jp North atria

Rent:- 30 k

Deposit:- 1.50 lakh

*With car parking 🅿️*

*24/7 water supply💦*

For visit please contact 

9152985573
7977531982",building_name (building_name_aliases),MIRA BHAYANDER REAL ESTATE GROUP,False
636877,,South Mumbai Central,*Indiabulls Sky,"FLATS FOR SALE
🔴*Indiabulls Sky*
Type: 4bhk
Area: 2200 sq ft Carpet 
Floor : Higher
Desc: Semi Furnished, Without balcony
Parking: Three 
Price : Rs 15Cr ++ Nego

🔴*Indiabulls Sky*
Type: 3bhk
Area: 24",building_name (building_name_aliases),General,False
636895,,Western Suburbs Prime,The 50 Seven,"*Available for sale*

*Shrishti*
4bhk plus balcony 
1525 usable carpet 
Khar 14th rd 
Bareshell apartment
2 car parks 
New building
*Price 8.50cr*

*Call for building name*
Brand new building 
4bhk 
1",building_name (building_name_aliases),Resi Lease Only Khar/Bandra/S'cruz,False
636975,Khar,Western Suburbs Prime,K K Elegance,"*AVAILABLE 3 BHK FOR SALE IN BRAND NEW BLDGS*

*IZZARA* (BARESHELL)
KHAR/1225 RERA/*@  7.50 CR*

*ZINDAGI*  (2 UNITS)
(WITH BALCONY)
KHAR/1282 RERA
*@ 7.70 CR & 7.30 CR*

*ZINDAGI* 
(WITH BALCONY)
KHA",building_name (building_name_aliases),Juhu mangesh salian,False
636985,Santacruz,Western Suburbs Prime,Woodstock Gardens,"*AVAILABLE 3 BHK FOR SALE IN BRAND NEW BLDGS*

*IZZARA* (BARESHELL)
KHAR/1225 RERA/*@  7.50 CR*

*ZINDAGI*  (2 UNITS)
(WITH BALCONY)
KHAR/1282 RERA
*@ 7.70 CR & 7.30 CR*

*ZINDAGI* 
(WITH BALCONY)
KHA",building_name (building_name_aliases),Juhu mangesh salian,False
637191,,Western Suburbs Mid,Gurukrupa Dhyanam*,"🏢 *GURUKRUPA DHYANAM* 🏢
7 BUNGALOWS 

MULTIPLE OPTIONS

*WELL DONE UP FLAT*
*NEW CONSTRUCTION*
➖➖➖➖➖➖➖➖➖ 
 *RENTAL OPTIONS* 
2BHKs STARTING AT 1L
3BHKs STARTING AT 1.50L

 *SALE*
2BHK 3.50CR LF
2BHK 3",building_name (building_name_aliases),G1 Realty (mumbai),False
639047,,Western Suburbs Prime,Anand Nagar,"*1bhk flat Required on Heavy deposit*
👉🏻Muslim family 
👉🏻Budget 7 to 8 lacs
📍 Anand Nagar, kasar vadavali, owale
👉🏻 Minimum 5yrs

Call if any inventory 
🤙 93265 88758",building_name (building_name_aliases),KING'S OF REALTY THANE (3),False
639739,BKC,South Mumbai Central,Lodha parkside,"⚠️*Urgent Lease Best Price Sobo&Bkc* 

➡️ Kanakia paris 
5.5bhk - 3.50 lakhs nego
Semi-Furnished with wardrobes beds


➡️World view 
4bhk -5.60 lakhs nego 
Semi-Furnished 

➡️Piramal aranya 
4.5bhk -3",building_name (building_name_aliases),Real Estate Giants (24×7),False
639747,BKC,Western Suburbs Prime,Kalpatru Magnus,"⚠️*Urgent Lease Best Price Sobo&Bkc* 

➡️ Kanakia paris 
5.5bhk - 3.50 lakhs nego
Semi-Furnished with wardrobes beds


➡️World view 
4bhk -5.60 lakhs nego 
Semi-Furnished 

➡️Piramal aranya 
4.5bhk -3",building_name (building_name_aliases),Real Estate Giants (24×7),False
642201,,Western Suburbs Extended,Conwoods Astoria,"*PROPERTY FOR RENT*
*1BHK*
1) *Conwoods Astoria* 35k

*2BHK*
0) *Satellite Tower* 75k
1) *Sadguru Complex* 60k F/F
2) *Divum Tower* 65k to 70k
3) *Omkar Ananta* 60k
4) *Shivkurpa* 60k poss 25July

*3B",building_name (building_name_aliases),South Mumbai commercial only,False
642584,,Andheri East,Vinay nagar,"📣Siddhi reality 📣
📢Urgent sell flats 📢
🏠 1BHK  🏢 1bhk 🏠

🏠Kakkad paradise 2
📍Penker padha
Area 440
Cost 92L

🏠SKD Pinacola 
📍Ramdev Park
1BHK Area 440
Cost 85L

🏠 Happy Home Residency 
📍Kanakia
1BHK A",building_name (building_name_aliases),LAXMI PROPERTIES (Western),False
642598,,Andheri East,Vinay nagar,"📣Siddhi reality 📣
📢Urgent sell flats 📢
🏠 1BHK  🏢 1bhk 🏠

🏠Kakkad paradise 2
📍Penker padha
Area 440
Cost 92L

🏠SKD Pinacola 
📍Ramdev Park
1BHK Area 440
Cost 85L

🏠 Happy Home Residency 
📍Kanakia
1BHK A",building_name (building_name_aliases),LAXMI PROPERTIES (Western),False
643278,,Western Suburbs Mid,Darshan Heights,"For Sale 
Darshan Heights 
Thakurdwar 
2 bhk
700 mentioned in agreement, actual usable 800 sqft.
Above 15 th floor, sea view apartment.
Vaastu compliant.
Fully furnished 
Car parking at additional cha",building_name (building_name_aliases),Accommodation Premium Listing,False
644906,,South Mumbai Central,Lodha Trump Tower,"*🏢 AVAILABLE FOR RENT*

3️⃣ Lodha Trump Tower – 4 BHK
• Area: 1600 Sq Ft
• Rent: ₹4.90 lacs negotiable 
• 3 Car Parking
• Veg Only
• Profile Required
• One Day Notice
• Multiple options available",building_name (building_name_aliases),Exclusive Real Estate (Ziyaul),False
645509,,Thane,‎*Runwal Eirene,"‎🏠*2 BHKs FLATS FOR SALE* 🏠 
‎
‎*Runwal Eirene*
‎Carpet 568 sq.ft 
Semi furnished 
‎₹1.05 Cr..
‎
‎*Runwal Garden City (2BHK + Study)*
‎Without Car Parking 
‎Carpet 738 / 850 Usable | ₹1.20 Cr..
‎
‎
‎*",building_name (building_name_aliases),KING'S OF REALTY THANE (3),False
646894,,South Mumbai Central,*Lodha World One,"*Rental Options available:*

✨ *Lodha World View :-*
● *3Bhk - 5.50 Lac*  
● *3Bhk - 5.50 Lac* 
● *3Bhk - 5.50 Lac* 
● *4Bhk - 5.50 Lac*
● *4Bhk - 7 Lac*
● *4Bhk - 7 Lac*

✨ *Lodha World One* 
● *3Bhk",building_name (building_name_aliases),Exclusive Real Estate (Ziyaul),False
646903,,South Mumbai Central,*Lodha World Crest,"*Rental Options available:*

✨ *Lodha World View :-*
● *3Bhk - 5.50 Lac*  
● *3Bhk - 5.50 Lac* 
● *3Bhk - 5.50 Lac* 
● *4Bhk - 5.50 Lac*
● *4Bhk - 7 Lac*
● *4Bhk - 7 Lac*

✨ *Lodha World One* 
● *3Bhk",building_name (building_name_aliases),Exclusive Real Estate (Ziyaul),False
649303,,Thane,Runwal Eiren,"🏡 1 BHK Flats Available for Sale

📍 Highland Spring
📐 Carpet: 396 sq.ft.
🪟 Finishing Done | East-West Facing
💰 Price: ₹70 Lac (Final)

📍 Runwal Eiren
📐 Carpet: 425 sq.ft.
💰 Price: ₹80 Lac (Final)

📍 R",building_name (building_name_aliases),KING'S OF REALTY THANE (3),False
649991,,Thane,Runwal Eiren,"🏡 2  BHK Flats Available for Sale

📍 Runwal Eiren
📐 Carpet: 530 sq.ft.
💰 Price: ₹1.10 Cr (Negotiable)

📍 Dosti Oak
📐 Carpet: 640 sq.ft.
💰 Price: ₹1.20 Cr

📍 Dosti pine
📐 Carpet: 721 sq.ft.
☝️  Lower f",building_name (building_name_aliases),KING'S OF REALTY THANE (3),False
652022,,Western Suburbs Prime,Nav Chetan,"*4 bh La Chaetue*
*East Avenue  Scruz* Peaceful serene location *Spacious 2000 usable carpet flat*
*Car parking ;- 2*
Well maintained building 
*Price :- 10  Cr*
 
*ASHMITA* 15th rd Khar 
1050  Usable",building_name (building_name_aliases),Bandra-Khar-Santacruz PROPERTY CONSULTANTS,False
654448,,Western Suburbs Prime,Anand Nagar,"*Sell Inventory*

*🏡 1 RK Apartment *

Vijay Apartment 
Waghbil 
280 carpet 
42 lacs

Bhoomi Ph1
Waghbil 
350 carpet 
48 lacs

🏡*Compact 1bhk*

Ace Courtyard
Mogharpada
300 carpet 
40 lacs

Bhoomi Acr",building_name (building_name_aliases),KING'S OF REALTY THANE (3),False
655352,,Western Suburbs Prime,Satguru Sholk,"*3BHK for Sale – Satguru Sholk* 
_Sole Mandate_

*Details:*
- *Carpet Area*: 936 sq.ft
- *Price*: ₹7 Cr
- *Parking*: 3 car parks
- *Building with amenities*
- *Keys*: In hand with us for easy inspecti",building_name (building_name_aliases),Bandra Broker Group,False
658253,,Western Suburbs Prime,Solitaire A,"❗ *Available Inventory*❗

*Studio Apartment on rent*
➡️ Solitaire C
➡️ Available for short term
➡️ Fully Furnished
🔑Available 


*1Bhk*
➡️Solitaire A 
➡️Rent 40k 
➡️Rent including 
Electricity bill 
G",building_name (building_name_aliases),KING'S OF REALTY THANE (3),False
659096,,Thane West,TATA serian,"*1BHK Available for Sale*

👉Blue Neel (pachpakhadi)
Carpet-530 Rate-99L
👉TATA serian
Carpet-477Rate-1.08cr
👉 Lodha Amara 
Carpet -470 Rate-70L neg
👉Lodha Amara 
Carpet -470+garden 
Rate-97L
👉 Neelkant",building_name (building_name_aliases),KING'S OF REALTY THANE (3),False
659106,,Navi Mumbai,Neelkanth Hight,"*1BHK Available for Sale*

👉Blue Neel (pachpakhadi)
Carpet-530 Rate-99L
👉TATA serian
Carpet-477Rate-1.08cr
👉 Lodha Amara 
Carpet -470 Rate-70L neg
👉Lodha Amara 
Carpet -470+garden 
Rate-97L
👉 Neelkant",building_name (building_name_aliases),KING'S OF REALTY THANE (3),False
659111,,Thane West,Runwel estate,"*1BHK Available for Sale*

👉Blue Neel (pachpakhadi)
Carpet-530 Rate-99L
👉TATA serian
Carpet-477Rate-1.08cr
👉 Lodha Amara 
Carpet -470 Rate-70L neg
👉Lodha Amara 
Carpet -470+garden 
Rate-97L
👉 Neelkant",building_name (building_name_aliases),KING'S OF REALTY THANE (3),False
659339,,Thane,Runwal Eiren,"🏡 1 BHK Flats Available for Sale

📍 Highland Spring
📐 Carpet: 396 sq.ft.
🪟 Finishing Done | East-West Facing
💰 Price: ₹70 Lac (Final)

📍 Runwal Eiren
📐 Carpet: 425 sq.ft.
💰 Price: ₹80 Lac (Final)

📍 R",building_name (building_name_aliases),KING'S OF REALTY THANE (3),False
659343,,Thane,Runwal Eiren,"🏡 2  BHK Flats Available for Sale

📍 Runwal Eiren
📐 Carpet: 530 sq.ft.
💰 Price: ₹1.10 Cr (Negotiable)

📍 Dosti Oak
📐 Carpet: 640 sq.ft.
💰 Price: ₹1.20 Cr

📍 Dosti pine
📐 Carpet: 721 sq.ft.
☝️  Lower f",building_name (building_name_aliases),KING'S OF REALTY THANE (3),False
659344,,Thane,Runwal Eiren,"🏡 1 BHK Flats Available for Sale

📍 Highland Spring
📐 Carpet: 396 sq.ft.
🪟 Finishing Done | East-West Facing
💰 Price: ₹70 Lac (Final)

📍 Runwal Eiren
📐 Carpet: 425 sq.ft.
💰 Price: ₹80 Lac (Final)

📍 R",building_name (building_name_aliases),KING'S OF REALTY THANE (3),False
659779,,Thane West,Kalpataru imansa,"Flat for rent 

Lodha Amara 
2 BHK flat for rent 45000 

Chesna 
2 BHK flat for rent 27000 

Lodha Amara 
1 BHK flat for rent 25000 

Vijay enclave 
2 BHK flat for rent 39000 

Kalpataru imansa
2 BHK",building_name (building_name_aliases),KING'S OF REALTY THANE (3),False
660495,Bandra West,Western Suburbs Prime,Almeda Park,"*SAI REALTY*
*FLAT AVAILABLE ON RENT*

*PRIME LOCATION*
*BRAND NEW BUILDING*

*(UNTOUCHED APARTMENT)*
*LUXURIOUS SPACIOUS 3 BHK FLAT+ SERVANT BATHROOM ON SAME FLOOR WITH ONE CAR PARKING 🚗*

*PER FLOOR",building_name (building_name_aliases),🏠ROYAL REALTORS 🏠 BANDRA 🏚️,False
660779,,Thane West,Purani City,"Purani City 
1 BHK flat rent 
20000 

Capri Hiranandani 
2 BHK flat for rent 
42000 rent 


Rodas enclave 
Eva Tower 
2 BHK flat rent
55000 

Om Sai property 
Rajan Gupta 

8879 877 289 
7977 615946",building_name (building_name_aliases),KING'S OF REALTY THANE (3),False
660790,,Western Suburbs Extended,Eva Tower,"Purani City 
1 BHK flat rent 
20000 

Capri Hiranandani 
2 BHK flat for rent 
42000 rent 


Rodas enclave 
Eva Tower 
2 BHK flat rent
55000 

Om Sai property 
Rajan Gupta 

8879 877 289 
7977 615946",building_name (building_name_aliases),KING'S OF REALTY THANE (3),False
664254,,Western Suburbs Far,Salasar ashirwad,"Sandstone 2bhk 96lakhs

1bhk sandstone 67lakhs

1bhk sandstone with parking open alloted 70lakhs
Sandstone 3bhk 1.55cr furnished flat 

Evershine woods furnished with parking still 3bhk 1.10cr

Ostwal",building_name (building_name_aliases),GURUKIRPA REALTORS MUMBAI [24],False
664978,,South Mumbai Prime,Imperial Towers,"*Available Residential Apartment for lease*

Building - Imperial Towers 
Tower :- South 
BHK :- 3 BHK
Built up Area:- 1783 sqft carpet 
Condition: Fully furnished 
Rent Expectation:- 6.5 lacs 
Securit",building_name (building_name_aliases),Exclusive Real Estate (Ziyaul),False
665325,,Western Suburbs Mid,Aditya Apartment,"🔱 *हर हर महादेव* 🔱

🔱 *Urgent Rental Flat* 🔱

1 bhk rental flat in poonam complex semi furnished flat with Modular kitchen 
Rent - 34k negotiable 
Deposit 1.25 lakh 

1 Bhk Rental Flat In Dheeraj Upva",building_name (building_name_aliases),🏨 ANSHIKA 🕉️ PROPERTIES 🏨,False
666995,,Western Suburbs Mid,Hubtown Solaris,"*Fully furnished office for Rent in Hubtown Solaris*

Size - 1350sqft
3 cabins
1 conference
1 meeting room
18 work stations
2 washroom
1 pantry

Rent - 4 lakh negotiable 

Ashiana Estate Consultants
9",building_name (building_name_aliases),South Mumbai commercial only,False
671564,,Western Suburbs Mid,The Park,"*RNA NG ECLAT*

1BHK
AC N KITCHEN CABINET 
ASKING 95K

2BHK FULLY FURNITURE 
RENT 1.50LAC
HIGHER FLOOR 
ONLY CORPORATE WORKING FAMILY 

3BHK FULLY FURNITURE 
DONE UP FLAT 
RENT 2.50LAC 

*THE PARK*
3B",building_name (building_name_aliases),South Mumbai commercial only,False
671916,,Western Suburbs Mid,Eden Wood,"*URGENT REQUIRED 1BHK FLAT FOR PURCHASE* 

LOCATION: EDEN WOOD,GARDEN ESTATE,LOK PURAM, VASANT VIHAR AND NEARBY AREA 

REQUIRED: VASTU COMPLAINT, CAR PARKING

BUDGET: 80LACS TO 85LACS 

 *DEAL SIDE-BY",building_name (building_name_aliases),KING'S OF REALTY THANE (3),False
672082,,Western Suburbs Mid,Adani Western Height,"*ADANI WESTERN HEIGHT*

RENTAL INVENTORY  

🏡 3 BHK CONVERTED INTO 2 BHK EXCLUSIVELY DONE UP WITH WHITE'S GOODS 
1300 SQFT CARPET 2 PARKING 
HIGHER FLOOR 
ASKING RENT 3.25 LAKH NEGOTIABLE 

🏠 3 BHK EX",building_name (building_name_aliases),Real Estate Giants (24×7),False
672793,,Western Suburbs Far,in Jp North Garden City,"*Available Rental*

1bhk Raj Akshay 
Semi furnished 
28k/1 lac

1bhk in Swagat Heights 
With Modular Kitchen 
Near Gcc
21k/70k

2bhk in MICL
Near Thakur Mall 
2 Options Available 
Semi furnished 
45k/",building_name (building_name_aliases),LAXMI PROPERTIES (Western),False
672890,Bandra,Bandra West,H&M Tower,"*Available for sale*

*Shrishti*
4bhk plus balcony 
1525 usable carpet 
Khar 14th rd 
Bareshell apartment
2 car parks 
New building
*Price 8.50cr*

*Call for building name*
Brand new building 
4bhk 
1",building_name (building_name_aliases),Resi Lease Only Khar/Bandra/S'cruz,False
676042,,Western Suburbs Prime,Bhagwati Heights,"* *4 bhk + Deck + All sides balconies..2200 sq ft usable carpet area*( carpet area in Agreement 1700 sq ft)
* *BHAGWATI HEIGHTS*
* One flat per floor 
* 9 year old building only
* All sides balcony 
*",building_name (building_name_aliases),Bandra-Khar-Santacruz PROPERTY CONSULTANTS,False
677470,,Thane West,Puranik Home Town*,"##  *SALE PROPERTY*  ##

📍 *LODHA CROWN* KOLSHET
1BHK
CARPET- 422
COST-65 LAC 
WITH PARKING 

 
📍 *HARMONY RESIDENCY* KASARVADWALI 
2BHK
CARPET -700
COST-78 LAKH Negotiable NEGOTIABLE 
STIL PARKING",building_name (building_name_aliases),KING'S OF REALTY THANE (3),False
677501,Goregaon,Western Suburbs Prime,Imperial Height,"*Imperial Height*
_Best Colony, Goregaon W_

*3BHK FOR SALE*
-1390 Sqft Carpet 
-Higher Floor 
-Above 27th Floor
-Double Balconies 
-2 Car Parking 
*-Price 5.75 Cr slightly neg*

_2 Hrs Notice For Ins",building_name (building_name_aliases),LAXMI PROPERTIES (Western),False
